id,name_formal,state,official_sk,district_sk,party,gov_type,city,district_id,valid_to,last_name,valid_from,first_name,links,chamber_id,num_officials,chamber_type
200031,United States House of Representatives,CA,2262,757220,Republican,NATIONAL,,22,2019-01-03 00:00:00+00,Nunes,2013-01-03 00:00:00+00,Devin,#,4507,1,LOWER
131327,Bakersfield City Council,CA,12446,841032,,LOCAL,Bakersfield,5,2016-12-01 00:00:00+00,Hanson,2014-12-01 00:00:00+00,Harold,#,2613,1,LOWER
178469,Sacramento City Council,CA,35660,2670,,LOCAL,Sacramento,2,2020-11-24 00:00:00+00,Warren,2012-12-11 00:00:00+00,Allen,#,2630,1,LOWER
188711,Vista City Council,CA,168835,858425,,LOCAL,Vista,At Large,2018-12-01 00:00:00+00,Aguilera,2014-12-01 00:00:00+00,John,#,3808,1,LOWER
177727,United States House of Representatives,CA,16531,757238,Democrat,NATIONAL,,38,2019-01-03 00:00:00+00,Sánchez,2013-01-03 00:00:00+00,Linda,#,4507,1,LOWER
188003,United States Senate,CA,135650,5,Democrat,NATIONAL,,CA,2023-01-03 00:00:00+00,Harris,2017-01-03 00:00:00+00,Kamala,#,2675,2,UPPER
69748,Long Beach City Council,CA,18100,2790,,LOCAL,Long Beach,5,2014-07-17 00:00:00+00,Schipske,0001-01-01 00:00:00+00,Gerrie,#,1473,1,LOWER
9539,Oxnard City Council,CA,9539,2202,,LOCAL,Oxnard,At Large,0001-01-02 00:00:00+00,Herrera,0001-01-01 00:00:00+00,Andres,#,4241,4,LOWER
80050,California State Assembly,CA,17482,752698,Democrat,STATE,,4,2014-12-01 00:00:00+00,Yamada,2012-12-03 00:00:00+00,Mariko,#,2446,1,LOWER
201317,California State Assembly,CA,80218,752669,Republican,STATE,,74,2018-12-03 00:00:00+00,Harper,2014-12-01 00:00:00+00,Matthew,#,2446,1,LOWER
179565,Riverside City Council,CA,7060,442,,LOCAL,Riverside,1,2019-07-09 00:00:00+00,Gardner,2007-11-01 00:00:00+00,Mike,#,2717,1,LOWER
195960,United States House of Representatives,CA,10397,757235,Democrat,NATIONAL,,40,2019-01-03 00:00:00+00,Roybal-Allard,2013-01-03 00:00:00+00,Lucille,#,4507,1,LOWER
32682,California Senate,CA,8772,708,Republican,STATE,,38,2012-12-03 00:00:00+00,Wyland,2010-12-06 00:00:00+00,Mark,#,1403,0,UPPER
194474,California State Assembly,CA,14016,752678,Democrat,STATE,,70,2018-12-03 00:00:00+00,O'Donnell,2014-12-01 00:00:00+00,Patrick,80214,2446,1,LOWER
79805,California Senate,CA,11639,752764,Democrat,STATE,,30,2014-12-01 00:00:00+00,Calderon,2012-12-03 00:00:00+00,Ron,#,1403,1,UPPER
200442,Los Angeles City Council,CA,4191,758086,,LOCAL,Los Angeles,14,2019-07-01 00:00:00+00,Huizar,2013-07-01 00:00:00+00,José,#,4327,1,LOWER
198827,California State Assembly,CA,134706,752722,Republican,STATE,,6,2018-12-03 00:00:00+00,Kiley,2016-12-05 00:00:00+00,Kevin,#,2446,1,LOWER
122057,Bakersfield Mayor,CA,15570,140,,LOCAL,Bakersfield,BAKERSFIELD,2014-12-01 00:00:00+00,Hall,2000-01-01 00:00:00+00,Harvey,#,1557,1,EXEC
80109,California State Assembly,CA,13912,752658,Democrat,STATE,,53,2014-12-01 00:00:00+00,Pérez,2012-12-03 00:00:00+00,John,#,2446,1,LOWER
76833,Los Angeles City Council,CA,2557,758072,Democrat,LOCAL,Los Angeles,4,2015-07-01 00:00:00+00,LaBonge,2013-07-01 00:00:00+00,Tom,#,4327,1,LOWER
16363,United States House of Representatives,CA,16363,848,Republican,NATIONAL,,52,2013-01-03 00:00:00+00,Hunter,2011-01-06 00:00:00+00,Duncan,#,4507,0,LOWER
110018,California Senate,CA,88143,752751,,STATE,,7,2015-05-28 00:00:00+00,VACANT,2015-01-03 00:00:00+00,VACANT,#,1403,1,UPPER
195849,Fontana City Council,CA,168731,858422,,LOCAL,Fontana,At Large,2018-12-11 00:00:00+00,Tahan,2014-12-09 00:00:00+00,Michael,#,3803,1,LOWER
63397,Riverside Mayor,CA,11110,262,,LOCAL,Riverside,RIVERSIDE,2013-01-01 00:00:00+00,Loveridge,2010-01-01 00:00:00+00,Ronald,#,2718,1,EXEC
200661,United States House of Representatives,CA,17704,757201,Democrat,NATIONAL,,35,2019-01-03 00:00:00+00,Torres,2015-01-06 00:00:00+00,Norma,#,4507,1,LOWER
192329,California Senate,CA,4231,752756,Democrat,STATE,,22,2018-12-03 00:00:00+00,Hernandez,2014-12-01 00:00:00+00,Ed,#,1403,1,UPPER
168807,Murrieta City Council,CA,168543,858386,,LOCAL,Murrieta,At Large,2018-12-04 00:00:00+00,Long,2014-12-02 00:00:00+00,Alan,#,3498,1,LOWER
184374,San Bernardino City Council,CA,123051,1682,,LOCAL,San Bernardino,6,2021-01-01 00:00:00+00,Richard,2016-03-07 00:00:00+00,Bessine,#,4333,1,LOWER
188688,Norwalk City Council,CA,168434,858406,,LOCAL,Norwalk,At Large,2021-03-31 00:00:00+00,Ayala,2017-03-07 00:00:00+00,Tony,#,3477,1,LOWER
112949,United States House of Representatives,CA,7084,918,Democrat,NATIONAL,,32,2009-02-24 00:00:00+00,Solis,2009-01-06 00:00:00+00,Hilda,181379,4507,0,LOWER
168956,El Cajon City Council,CA,168923,858427,,LOCAL,El Cajon,At Large,2020-12-01 00:00:00+00,Goble,2016-12-01 00:00:00+00,Steve,#,4515,1,LOWER
200942,San Jose City Council,CA,80942,2688,,LOCAL,San Jose,3,2019-01-01 00:00:00+00,Peralez,2015-01-01 00:00:00+00,Raul,#,2638,1,LOWER
199237,Long Beach City Council,CA,6628,2787,,LOCAL,Long Beach,6,2020-07-21 00:00:00+00,Andrews,2007-07-21 00:00:00+00,Dee,#,1473,1,LOWER
15237,United States House of Representatives,CA,15237,942,Democrat,NATIONAL,,37,2013-01-03 00:00:00+00,Richardson,2011-01-06 00:00:00+00,Laura,#,4507,0,LOWER
188136,California State Assembly,CA,32864,752667,,STATE,,51,2017-06-06 00:00:00+00,Gomez,2012-12-03 00:00:00+00,Jimmy,188489,2446,1,LOWER
174658,Santa Maria City Council,CA,173099,859005,,LOCAL,Santa Maria,At Large,2018-12-18 00:00:00+00,Waterfield,2014-12-16 00:00:00+00,Etta,#,4066,1,LOWER
61976,San Diego Mayor,CA,24211,277,Democrat,LOCAL,San Diego,SAN DIEGO,2013-08-30 00:00:00+00,Filner,2012-12-03 00:00:00+00,Bob,#,2635,1,EXEC
195992,Moreno Valley City Council,CA,171321,859137,,LOCAL,Moreno Valley,At Large,2019-01-15 00:00:00+00,Gutierrez,2017-01-03 00:00:00+00,Yxstian,#,3825,1,LOWER
106392,California State Assembly,CA,32855,752649,Democrat,STATE,,47,2016-12-05 00:00:00+00,Brown,2012-12-03 00:00:00+00,Cheryl,#,2446,1,LOWER
195818,Santa Rosa City Council,CA,168692,858420,,LOCAL,Santa Rosa,At Large,2020-11-30 00:00:00+00,Rogers,2016-11-01 00:00:00+00,Chris,#,3801,1,LOWER
194471,California State Assembly,CA,32918,752653,Democrat,STATE,,66,2018-12-03 00:00:00+00,Muratsuchi,2016-12-05 00:00:00+00,Al,#,2446,1,LOWER
168639,Pasadena City Council,CA,168493,858337,,LOCAL,Pasadena,1,2019-05-06 00:00:00+00,Hampton,2015-05-04 00:00:00+00,Tyron,#,4542,1,LOWER
195173,Burbank City Council,CA,169011,858405,,LOCAL,Burbank,At Large,2021-05-03 00:00:00+00,Frutos,2017-05-01 00:00:00+00,Bob,#,3525,1,LOWER
15199,Stockton City Council,CA,15199,2857,,LOCAL,Stockton,2,2008-12-31 00:00:00+00,Chapman,0001-01-01 00:00:00+00,Dan,#,4253,0,LOWER
174225,West Covina City Council,CA,170544,859007,,LOCAL,West Covina,At Large,2018-12-06 00:00:00+00,Toma,2013-12-05 00:00:00+00,James,#,4139,1,LOWER
134346,Fresno City Council,CA,3705,1430,,LOCAL,Fresno,5,2016-06-01 00:00:00+00,Quintero,1995-01-03 00:00:00+00,Sal,#,2614,1,LOWER
168476,Vallejo City Council,CA,168424,858340,,LOCAL,Vallejo,At Large,2019-01-01 00:00:00+00,Dew-Costa,2014-12-05 00:00:00+00,Pippin,#,3455,1,LOWER
192000,United States House of Representatives,CA,17864,757190,Republican,NATIONAL,,48,2019-01-03 00:00:00+00,Rohrabacher,2013-01-03 00:00:00+00,Dana,#,4507,1,LOWER
181340,San Jose City Council,CA,80928,2683,,LOCAL,San Jose,1,2019-01-01 00:00:00+00,Jones,2015-01-01 00:00:00+00,Charles,#,2638,1,LOWER
122060,Berkeley Mayor,CA,5023,393513,,LOCAL,Berkeley,BERKELEY,2014-12-01 00:00:00+00,Bates,2012-06-08 00:00:00+00,Tom,#,484,1,EXEC
183895,United States House of Representatives,CA,34003,757213,Democrat,NATIONAL,,15,2019-01-03 00:00:00+00,Swalwell,2013-01-03 00:00:00+00,Eric,#,4507,1,LOWER
162304,United States House of Representatives,CA,6639,757188,Democrat,NATIONAL,,47,2019-01-03 00:00:00+00,Lowenthal,2013-01-03 00:00:00+00,Alan,6639,4507,1,LOWER
17864,United States House of Representatives,CA,17864,949,Republican,NATIONAL,,46,2013-01-03 00:00:00+00,Rohrabacher,2011-01-06 00:00:00+00,Dana,#,4507,0,LOWER
178461,Sacramento City Council,CA,16157,2679,,LOCAL,Sacramento,1,2018-11-27 00:00:00+00,Ashby,2011-01-01 00:00:00+00,Angelique,#,2630,1,LOWER
199708,Huntington Beach City Council,CA,171968,858920,,LOCAL,Huntington Beach,At Large,2018-11-26 00:00:00+00,Peterson,2014-11-24 00:00:00+00,Erik,#,3107,1,LOWER
192324,California Senate,CA,5765,752747,Democrat,STATE,,5,2020-12-07 00:00:00+00,Galgiani,2012-12-03 00:00:00+00,Cathleen,#,1403,1,UPPER
178393,Fresno City Council,CA,41433,656,,LOCAL,Fresno,2,2021-01-05 00:00:00+00,Brandau,2013-01-10 00:00:00+00,Steve,#,2614,1,LOWER
188481,United States House of Representatives,CA,7082,757240,Democrat,NATIONAL,,6,2019-01-03 00:00:00+00,Matsui,2013-01-03 00:00:00+00,Doris,#,4507,1,LOWER
126894,California State Assembly,CA,11284,752701,Republican,STATE,,12,2016-12-05 00:00:00+00,Olsen,2012-12-03 00:00:00+00,Kristin,#,2446,1,LOWER
56226,California State Assembly,CA,51387,752680,,STATE,,80,2013-06-05 00:00:00+00,VACANT,2013-03-01 21:03:08+00,VACANT,#,2446,1,LOWER
12019,California Senate,CA,12019,716,Republican,STATE,,19,2008-12-01 00:00:00+00,McClintock,0001-01-01 00:00:00+00,Tom,#,1403,0,UPPER
168465,Temecula City Council,CA,168457,858421,,LOCAL,Temecula,At Large,2018-11-30 00:00:00+00,Rahn,2014-11-30 00:00:00+00,Matt,#,4015,1,LOWER
32793,Stockton City Council,CA,12429,2861,,LOCAL,Stockton,5,2012-12-03 00:00:00+00,Talamantes Eggman,2011-01-01 00:00:00+00,Susan,194375,4253,0,LOWER
198914,Costa Mesa City Council,CA,171537,858476,,LOCAL,Costa Mesa,At Large,2020-12-01 00:00:00+00,Stephens,2016-12-13 00:00:00+00,John,#,4054,1,LOWER
168811,Victorville City Council,CA,168402,858426,,LOCAL,Victorville,At Large,2020-11-03 00:00:00+00,Gomez,2016-12-06 00:00:00+00,Blanca,#,4016,1,LOWER
182039,Inglewood City Council,CA,171988,859157,,LOCAL,Inglewood,At Large,2019-01-31 00:00:00+00,Butts,2011-01-31 00:00:00+00,James,#,4087,1,LOWER
