city,id,last_name,official_sk,district_id,district_sk,name_formal,party,num_officials,first_name,chamber_id,gov_type,valid_from,links,chamber_type,state,valid_to
Edison,192100,Patil,173886,At Large,859203,Edison Township Council,,1,Ajay,4341,LOCAL,2015-12-31 00:00:00+00,#,LOWER,NJ,2019-12-31 00:00:00+00
,196055,Addiego,5959,000000000008,4623,New Jersey State Senate,Republican,1,Dawn,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
Elizabeth,195712,Mazza,174883,6,858439,Elizabeth City Council,,1,Frank,4383,LOCAL,2015-01-01 00:00:00+00,#,LOWER,NJ,2019-01-01 00:00:00+00
Elizabeth,195707,Perkins-Auguste,174877,At Large,858472,Elizabeth City Council,,1,Patricia,4383,LOCAL,2017-01-01 00:00:00+00,#,LOWER,NJ,2021-01-01 00:00:00+00
,67084,Barnes,16722,000000000018,10844,New Jersey General Assembly,Democrat,2,Peter,4411,STATE,2012-01-10 00:00:00+00,127723,LOWER,NJ,2014-01-14 00:00:00+00
Woodbridge,192114,Anderson,173679,At Large,858528,Woodbridge Township Council,,1,Kyle,4297,LOCAL,2012-01-01 00:00:00+00,#,LOWER,NJ,2020-01-01 00:00:00+00
,196087,Doherty,8232,000000000023,4640,New Jersey State Senate,Republican,1,Michael,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,196209,Cruz-Perez,90133,000000000005,4620,New Jersey State Senate,Democrat,1,Nilsa,2363,STATE,2014-12-15 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,196054,Singleton,16762,000000000007,4622,New Jersey State Senate,Democratic,1,Troy,2363,STATE,2018-01-09 00:00:00+00,188988,UPPER,NJ,2022-01-11 00:00:00+00
,196050,Beach,14520,000000000006,4621,New Jersey State Senate,Democrat,1,James,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,196084,Cryan,183514,000000000020,4636,New Jersey State Senate,Democrat,1,Joseph,2363,STATE,2018-01-09 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
