official_sk,last_name,gov_type,num_officials,id,valid_from,name_formal,links,valid_to,chamber_id,party,chamber_type,first_name,city,district_sk,district_id,state
5783,Addabbo,LOCAL,0,5783,0001-01-01 00:00:00+00,New York City Council,#,2009-12-31 00:00:00+00,1337,Democrat,LOWER,Joseph,New York,1065,000000000032,NY
9753,Tonko,NATIONAL,0,9753,2011-01-03 00:00:00+00,United States House of Representatives,#,2013-01-03 00:00:00+00,4507,Democrat,LOWER,Paul,,1518,000000000021,NY
199283,Stern,STATE,1,199312,2018-05-05 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Steve,,753444,000000000010,NY
19547,Storobin,STATE,0,20971,2012-06-04 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Republican,UPPER,David,,3658,000000000027,NY
10558,VACANT,STATE,0,10558,0001-01-01 00:00:00+00,New York State Assembly,#,2012-01-03 00:00:00+00,2473,,LOWER,VACANT,,7498,000000000148,NY
6206,Simanowitz,STATE,0,20965,2011-09-13 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Michael,,7592,000000000027,NY
1589,Gibson,STATE,0,1589,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Vanessa,,7575,000000000077,NY
19695,Molinaro,LOCAL,2,159279,2012-06-22 00:00:00+00,Staten Island Borough President,#,2014-01-01 00:00:00+00,4423,,EXEC,James,New York,393969,STATEN ISLAND,NY
10183,Canestrari,STATE,0,10183,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Ron,,7510,000000000106,NY
15711,Maltese,STATE,0,15711,0001-01-01 00:00:00+00,New York State Senate,#,2009-01-01 00:00:00+00,4502,Republican,UPPER,Serphin,,3646,000000000015,NY
192768,VACANT,STATE,1,199299,2018-01-01 00:00:00+00,New York State Assembly,#,2018-05-05 00:00:00+00,2473,,LOWER,VACANT,,753476,000000000107,NY
168228,Pellegrino,STATE,1,193978,2017-06-05 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Christine,,753443,000000000009,NY
9131,Rivera,STATE,1,194009,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,José,,753558,000000000078,NY
2648,Weprin,STATE,0,2648,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Democrat,LOWER,Mark,,7593,000000000024,NY
137206,Suozzi,NATIONAL,1,171641,2017-01-03 00:00:00+00,United States House of Representatives,#,2019-01-03 00:00:00+00,4507,Democrat,LOWER,Thomas,,757496,000000000003,NY
199326,VACANT,STATE,1,199328,2018-04-15 00:00:00+00,New York State Assembly,#,,2473,,LOWER,VACANT,,753472,000000000104,NY
30032,Otis,STATE,1,193974,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Steven,,753571,000000000091,NY
14399,Dickens,LOCAL,1,136595,2014-01-01 00:00:00+00,New York City Council,#,2017-01-01 00:00:00+00,1337,Democrat,LOWER,Inez,New York,758834,9,NY
15449,Jeffries,STATE,0,15449,2011-01-01 00:00:00+00,New York State Assembly,197829,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Hakeem,,7614,000000000057,NY
6004,Zeldin,NATIONAL,1,200644,2015-01-06 00:00:00+00,United States House of Representatives,6004,2019-01-03 00:00:00+00,4507,Republican,LOWER,Lee,,757494,000000000001,NY
4116,Gentile,LOCAL,1,178847,2014-01-01 00:00:00+00,New York City Council,#,2018-01-01 00:00:00+00,1337,Democrat,LOWER,Vincent,New York,758855,43,NY
17941,Glick,STATE,1,193913,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Deborah,,753548,000000000066,NY
9476,Brown,LOCAL,1,191421,2012-05-11 00:00:00+00,Buffalo Mayor,#,2022-01-01 00:00:00+00,4508,,EXEC,Byron,Buffalo,392991,BUFFALO,NY
16211,Brodsky,STATE,0,16211,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Democrat,LOWER,Richard,,7551,000000000092,NY
48899,King,LOCAL,1,190141,2014-01-01 00:00:00+00,New York City Council,#,2022-01-01 00:00:00+00,1337,Democrat,LOWER,Andy,New York,758836,12,NY
13807,Schroeder,STATE,0,13807,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Democrat,LOWER,Mark,,7534,000000000145,NY
622,Vann,LOCAL,0,65844,2010-01-01 00:00:00+00,New York City Council,#,2014-01-01 00:00:00+00,1337,Democrat,LOWER,Albert,New York,1099,000000000036,NY
15404,Ra,STATE,1,201064,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,Edward,,753453,000000000019,NY
9598,Katz,STATE,0,9598,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Steve,,7545,000000000099,NY
1767,Ortiz,STATE,0,1767,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Felix,,7625,000000000051,NY
17843,Jacobs,STATE,0,17843,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Rhoda,,7636,000000000042,NY
173708,Johnson,LOCAL,1,191693,2016-01-01 00:00:00+00,Yonkers City Council,#,2017-12-31 00:00:00+00,4427,,LOWER,Christopher,Yonkers,858575,1,NY
15425,Adams,LOCAL,1,191328,2014-01-01 00:00:00+00,Brooklyn Borough President,15425,2022-01-01 00:00:00+00,4421,Democrat,EXEC,Eric,New York,393970,BROOKLYN,NY
4890,Perkins,LOCAL,1,190131,2017-02-21 00:00:00+00,New York City Council,4890,2022-01-01 00:00:00+00,1337,Democrat,LOWER,Bill,New York,758834,9,NY
10215,Zebrowski,STATE,1,194046,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Kenneth,,753463,000000000096,NY
173711,Shepherd,LOCAL,1,177213,2014-01-01 00:00:00+00,Yonkers City Council,#,2018-01-01 00:00:00+00,4427,,LOWER,Dennis,Yonkers,858724,4,NY
