last_name,links,first_name,valid_to,district_id,chamber_type,city,valid_from,name_formal,party,id,district_sk,state,chamber_id,gov_type,num_officials,official_sk
Spelman,#,Bill,2015-01-06 00:00:00+00,AT LARGE,LOWER,Austin,2012-06-15 00:00:00+00,Austin City Council,,72419,2019,TX,4171,LOCAL,0,10196
Hardberger,#,Phil,0001-01-02 00:00:00+00,SAN ANTONIO,EXEC,San Antonio,0001-01-01 00:00:00+00,San Antonio Mayor,,16160,270,TX,2310,LOCAL,0,16160
Stardig,#,Brenda,2012-01-02 00:00:00+00,A,LOWER,Houston,0001-01-01 00:00:00+00,Houston City Council,,4696,2955,TX,2814,LOCAL,1,4696
Carbone,#,Tony,2019-05-31 00:00:00+00,At Large,LOWER,Pearland,2013-05-31 00:00:00+00,Pearland City Council,,176932,859044,TX,4105,LOCAL,1,173516
Ferguson,#,R. Neil,2019-05-04 00:00:00+00,At Large,LOWER,Lewisville,2016-05-07 00:00:00+00,Lewisville City Council,,194207,858787,TX,4615,LOCAL,1,172929
Hoang,#,Al,2014-01-02 00:00:00+00,F,LOWER,Houston,2012-01-02 00:00:00+00,Houston City Council,,15072,2985,TX,2814,LOCAL,1,15072
Spelman,#,Bill,2012-06-01 00:00:00+00,AT LARGE,LOWER,Austin,2009-06-01 00:00:00+00,Austin City Council,,10196,2019,TX,4171,LOCAL,0,10196
Turner,#,David,2020-11-10 00:00:00+00,At Large,LOWER,Odessa,2012-11-13 00:00:00+00,Odessa City Council,,176910,859208,TX,4197,LOCAL,1,173958
Kingston,#,Philip,2019-06-01 00:00:00+00,14,LOWER,Dallas,2013-06-03 00:00:00+00,Dallas City Council,,199433,758057,TX,4287,LOCAL,1,54265
Hotchkiss,#,Sharla,2020-01-01 00:00:00+00,3,LOWER,Midland,2017-01-09 00:00:00+00,Midland City Council,,176856,859100,TX,4601,LOCAL,1,174188
Gonzales,#,Lucy,2021-05-18 00:00:00+00,4,LOWER,San Angelo,2017-05-16 00:00:00+00,San Angelo City Council,,197731,859153,TX,3495,LOCAL,1,173542
Stopfer,#,Rick,2020-06-01 00:00:00+00,IRVING,EXEC,Irving,2017-06-01 00:00:00+00,Irving Mayor,,175711,760552,TX,2673,LOCAL,1,165554
Naishtat,#,Elliott,2015-01-05 00:00:00+00,000000000049,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56795,754698,TX,2661,STATE,0,5456
Stickland,#,Jonathan,2019-01-08 00:00:00+00,92,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,197917,760046,TX,2661,STATE,1,28609
Owens,#,Woody,2020-05-31 00:00:00+00,At Large,LOWER,Pearland,2017-06-30 00:00:00+00,Pearland City Council,,176936,859044,TX,4105,LOCAL,1,173521
Ybarra,#,Tara,2011-01-11 00:00:00+00,000000000043,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Democrat,514,5911,TX,2661,STATE,0,514
Estes,#,Craig,2013-01-08 00:00:00+00,000000000030,UPPER,,2009-01-06 00:00:00+00,The Senate of Texas,Republican,21623,2374,TX,2664,STATE,0,4057
Sheffield,#,Ralph,2013-01-08 00:00:00+00,000000000055,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,13425,5818,TX,2661,STATE,0,13425
Moore,#,Gary,2020-05-31 00:00:00+00,At Large,LOWER,Pearland,2014-05-31 00:00:00+00,Pearland City Council,,200968,859044,TX,4105,LOCAL,1,173517
Collier,#,Nicole,2015-01-05 00:00:00+00,000000000095,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56652,754744,TX,2661,STATE,0,34130
Swanson,#,Valoree,2019-01-08 00:00:00+00,150,LOWER,,2017-01-10 00:00:00+00,Texas House of Representatives,Republican,199463,760104,TX,2661,STATE,1,140683
Crabb,#,Joe,2011-01-01 00:00:00+00,000000000127,LOWER,,2009-01-01 00:00:00+00,Texas House of Representatives,Republican,5800,5892,TX,2661,STATE,0,5800
Isaac,#,Jason ,2015-01-05 00:00:00+00,000000000045,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,56759,754694,TX,2661,STATE,0,4287
Stephenson,#,Phil,2019-01-08 00:00:00+00,85,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,199432,760039,TX,2661,STATE,1,28606
Arévalo,#,Diana,2019-01-08 00:00:00+00,116,LOWER,,2017-01-10 00:00:00+00,Texas House of Representatives,Democrat,192717,760070,TX,2661,STATE,1,140589
Zadeh,#,Ann,2019-06-01 00:00:00+00,9,LOWER,Fort Worth,2014-07-15 00:00:00+00,Fort Worth City Council,,200962,758025,TX,4217,LOCAL,1,74165
Williams,#,Tommy,2013-10-26 00:00:00+00,000000000004,UPPER,,2013-01-08 00:00:00+00,The Senate of Texas,Republican,65369,754803,TX,2664,STATE,1,6263
Averitt,#,Kip,2011-01-04 00:00:00+00,000000000022,UPPER,,0001-01-01 00:00:00+00,The Senate of Texas,Republican,16907,2350,TX,2664,STATE,0,16907
Parker,#,Tan,2015-01-05 00:00:00+00,000000000063,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,67172,754712,TX,2661,STATE,0,5381
Simpson,#,David ,2013-01-08 00:00:00+00,000000000007,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,7048,5803,TX,2661,STATE,0,7048
Buckingham,#,Dawn,2021-01-12 00:00:00+00,000000000024,UPPER,,2017-01-10 00:00:00+00,The Senate of Texas,Republican,195323,754823,TX,2664,STATE,1,140944
Lopez,#,Ray,2013-06-01 00:00:00+00,000000000006,LOWER,San Antonio,2009-06-01 00:00:00+00,San Antonio City Council,,53528,1679,TX,1560,LOCAL,0,1474
Thalman,#,Roxanne,2019-05-30 00:00:00+00,3,LOWER,Arlington,2017-05-30 00:00:00+00,Arlington City Council,,199206,758029,TX,1646,LOCAL,1,168301
Cheney,#,Jeff,2020-05-19 00:00:00+00,FRISCO,EXEC,Frisco,2017-05-16 00:00:00+00,Frisco Mayor,,201025,859072,TX,4153,LOCAL,1,171592
Weber,14965,Randy,2019-01-03 00:00:00+00,000000000014,LOWER,,2013-01-03 00:00:00+00,United States House of Representatives,Republican,177716,757467,TX,4507,NATIONAL,1,14965
Clutterbuck,#,Anne,2012-01-02 00:00:00+00,C,LOWER,Houston,2010-01-02 00:00:00+00,Houston City Council,,12820,2971,TX,2814,LOCAL,1,12820
Aycock,#,Jimmie,2017-01-10 00:00:00+00,54,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,112260,760008,TX,2661,STATE,1,15931
Goolsby,#,Tony,2009-01-01 00:00:00+00,000000000102,LOWER,,0001-01-01 00:00:00+00,Texas House of Representatives,Republican,7578,5778,TX,2661,STATE,0,7578
Pate,#,W.,2019-05-07 00:00:00+00,At Large,LOWER,Beaumont,2017-05-09 00:00:00+00,Beaumont City Council,,174367,858594,TX,3661,LOCAL,1,171066
